class,light point,mean_red,mean_green,mean_blue,dark_point,point_size
Healthy,0,12.7080078125,13.12647480867347,1.7984095982142858,2,0
Healthy,0,24.325255102040817,24.013671875,5.702527104591836,1,8
Healthy,2,3.748565051020408,5.440549266581633,0.7548429528061225,2,0
Healthy,1,11.607322225765307,14.522720025510203,2.375358737244898,2,0
Healthy,2,9.871512276785714,12.887755102040817,2.5607461734693877,2,0
Healthy,0,13.299226721938776,15.214106345663266,1.4299067283163265,1,4
Healthy,0,24.770986128826532,23.744878029336736,9.005779655612244,1,78
Healthy,0,11.726044323979592,13.04962531887755,1.2224968112244898,2,0
Healthy,0,12.348333864795919,14.50017936862245,1.5526147959183674,2,0
Healthy,0,11.914102359693878,13.81134406887755,1.1949338329081634,2,0
Healthy,1,11.775530133928571,15.877371651785714,1.6511678890306123,1,13
Healthy,1,13.954819036989797,14.900011957908163,1.828045280612245,2,0
Healthy,2,5.876733896683674,9.025629783163266,1.2302495216836735,2,0
Healthy,1,14.88687818877551,18.199358258928573,2.057716836734694,1,7
Healthy,2,12.003706951530612,17.777084661989797,2.0949856505102042,2,0
Healthy,2,5.580038265306122,8.190688775510203,1.051498724489796,2,0
Healthy,2,4.162468112244898,8.068319515306122,1.009765625,2,0
Healthy,2,10.510204081632653,13.23891900510204,1.835399394132653,1,5
Healthy,1,15.564672353316327,18.378467793367346,1.9387157206632653,2,0
Healthy,2,7.872947225765306,10.930404974489797,1.3119220344387754,1,12
Healthy,1,16.83818957270408,20.557876275510203,2.4717992665816326,1,8
Healthy,1,6.888472576530612,8.152901785714286,1.267239317602041,1,6
Healthy,0,15.341079400510203,18.144929846938776,3.1365194515306123,2,0
Healthy,0,20.2064134247449,24.27439413265306,3.459502551020408,2,0
Healthy,0,14.45834661989796,17.232043207908163,3.0489477040816326,1,5
Healthy,1,16.01596380739796,18.896364795918366,2.6296635841836733,1,7
Healthy,1,15.105707908163266,19.090023118622447,2.2243901466836733,1,26
Healthy,0,18.105907206632654,21.743742028061224,2.4560148278061225,0,4
Healthy,1,12.96990593112245,16.747628348214285,1.4859693877551021,1,4
Healthy,1,16.766561702806122,21.328364158163264,2.433673469387755,2,0
Healthy,2,13.015565210459183,18.083107461734695,1.8539341517857142,1,5
Healthy,0,14.428312340561224,16.463767538265305,1.8919204400510203,1,27
Healthy,1,16.050741390306122,19.364676339285715,3.280452806122449,1,5
Healthy,2,6.427953603316326,9.77586894132653,1.3708745216836735,2,0
Healthy,2,7.122349330357143,9.604930644132653,1.6081194196428572,2,0
Healthy,1,13.272022480867347,17.329280931122447,1.8894889987244898,2,0
Healthy,2,9.75813137755102,14.323919802295919,1.692462531887755,2,0
Healthy,2,10.84064094387755,16.55502630739796,1.6935188137755102,1,6
Healthy,2,8.49234693877551,12.494878029336734,1.4416454081632653,2,0
Healthy,2,9.013233418367347,12.163823341836734,1.3594746492346939,2,0
Healthy,1,11.042370854591837,13.99952168367347,1.7298110650510203,1,7
Healthy,2,11.505839445153061,16.398377710459183,2.0524752869897958,2,0
Healthy,1,20.187360491071427,25.318279655612244,2.8525390625,2,0
Healthy,0,22.484873246173468,21.009626116071427,3.8682039221938775,2,0
Healthy,0,26.589983258928573,26.0972975127551,3.164361447704082,0,3
Healthy,0,15.869080835459183,17.32160794005102,2.109554368622449,1,8
Healthy,1,15.20394212372449,14.311124840561224,3.403679049744898,1,7
Healthy,1,12.670280612244898,16.20509805484694,1.7257055165816326,2,0
Healthy,1,10.110550860969388,11.567661830357142,1.615951849489796,0,7
Healthy,2,8.943239795918368,12.17139668367347,1.4551379145408163,2,0
Healthy,2,6.80680006377551,9.278081154336734,0.9536631058673469,2,0
Healthy,2,6.7260443239795915,8.993423150510203,1.2021484375,1,7
Healthy,1,15.604771205357142,16.768016581632654,3.4871651785714284,2,0
Healthy,2,7.165098852040816,11.00211256377551,1.4329958545918366,2,0
Healthy,1,18.416733099489797,26.5992506377551,1.7782804528061225,2,0
Healthy,1,6.946528220663265,9.412567761479592,1.9070073341836735,2,0
Healthy,1,14.80630181760204,14.070750956632653,2.793646364795918,2,0
Healthy,2,6.159299266581633,9.000856983418368,1.2441804846938775,1,10
Healthy,1,6.226183832908164,7.484375,1.5766900510204083,2,0
Healthy,2,5.0302734375,6.052156409438775,1.1837930484693877,2,0
Healthy,1,8.99137037627551,11.324119100765307,1.6500119579081634,2,0
Healthy,1,6.799047353316326,7.861766581632653,1.4429807079081634,2,0
Healthy,0,9.135343590561224,10.977678571428571,2.003467793367347,2,0
Healthy,1,7.759406887755102,9.584761639030612,1.4754264987244898,2,0
Healthy,2,9.554767219387756,12.660754145408163,1.4464285714285714,2,0
Healthy,0,12.347775829081632,14.598094706632653,2.8231026785714284,1,3
Healthy,2,7.013113839285714,9.878866390306122,1.111507493622449,2,0
Healthy,2,7.025589923469388,7.395687181122449,1.642040019132653,2,0
Healthy,2,9.705636160714286,10.950474330357142,1.9639070471938775,2,0
Healthy,0,8.361088966836734,10.536332110969388,2.183294802295918,2,0
Healthy,1,9.579520089285714,11.07437818877551,1.9354870854591837,1,9
Healthy,1,7.350047831632653,10.05337213010204,1.602718431122449,2,0
Healthy,1,11.70978156887755,13.863859215561224,1.8166254783163265,2,0
Healthy,2,9.418108258928571,11.995715082908163,1.7891820790816326,1,12
Healthy,1,16.650908801020407,17.931560905612244,3.3122409119897958,2,0
Healthy,1,12.682597257653061,16.202228156887756,2.105568399234694,2,0
Healthy,0,19.888791454081634,23.705656090561224,2.388213488520408,1,6
Healthy,1,10.974848533163266,11.01189811862245,2.3615872130102042,2,0
Healthy,2,7.937838807397959,9.901925223214286,1.5447026466836735,2,0
Healthy,2,7.584243463010204,10.269072863520408,1.7883250956632653,2,0
Healthy,0,10.913145727040817,11.683195153061224,1.7001953125,1,8
Healthy,1,14.841916454081632,16.459502551020407,2.017498405612245,1,14
Healthy,0,17.402244100765305,17.93197943239796,2.3526785714285716,1,8
Healthy,1,16.28806600765306,18.97915338010204,2.5285794005102042,1,10
Healthy,2,11.632055165816327,14.540557238520408,2.094547193877551,2,0
Healthy,2,10.98224250637755,12.293746014030612,2.3396245216836733,1,5
Healthy,1,8.593690210459183,10.03465800382653,1.4309032206632653,2,0
Healthy,1,12.764907525510203,14.703523596938776,1.7897401147959184,2,0
Healthy,2,10.699736926020408,12.729711415816327,1.5974170918367347,1,6
Healthy,1,10.484833386479592,11.778300382653061,1.7155811543367347,2,0
Healthy,2,12.514190051020408,14.064891581632653,2.2590282206632653,2,0
Healthy,1,11.631636639030612,12.96599968112245,2.129284917091837,1,2
Healthy,0,11.435586734693878,12.115812340561224,2.6562898596938775,1,25
Healthy,1,10.594128667091837,12.66912468112245,2.134247448979592,1,6
Healthy,2,11.343690210459183,14.327865911989797,2.3605907206632653,0,5
Healthy,0,15.528260522959183,22.16729113520408,1.811184630102041,2,0
Healthy,1,9.026606345663266,10.183354591836734,1.4041972257653061,2,0
Healthy,1,8.105408960459183,9.671416613520408,1.744140625,2,0
Healthy,1,8.434291294642858,10.250717474489797,1.8051458864795917,1,22
Healthy,0,8.528838488520408,9.538942920918368,1.4787348533163265,1,22
Healthy,1,14.692283163265307,16.522082270408163,1.830795599489796,1,5
Healthy,1,14.971480389030612,16.43490911989796,2.3534757653061225,2,0
Healthy,0,9.550083705357142,10.445192920918368,1.736587213010204,2,0
Healthy,0,11.859335140306122,12.881616709183673,1.8834303252551021,1,8
Healthy,1,8.574437978316327,9.783781090561224,1.798190369897959,2,0
Healthy,1,16.023955676020407,17.11979830994898,2.595005580357143,0,5
Healthy,1,14.625518176020408,16.615613042091837,2.474250637755102,2,0
Healthy,1,8.924226721938776,9.687719228316327,1.6003467793367347,2,0
Healthy,0,15.144272161989797,17.54328762755102,2.8286232461734695,1,7
Healthy,1,10.30584343112245,12.163863201530612,1.4822225765306123,1,22
Healthy,0,11.427275988520408,12.571966677295919,2.230827487244898,1,8
Healthy,2,10.463667889030612,11.06509088010204,1.8234414859693877,2,0
Healthy,1,9.669563137755102,12.270727040816327,1.5329639668367347,1,10
Healthy,0,12.467733577806122,13.19676737882653,1.663265306122449,1,7
Healthy,0,11.211654974489797,12.04249043367347,2.0675223214285716,2,0
Healthy,1,7.506238042091836,8.58446269132653,1.2582110969387754,1,13
Healthy,1,16.397520727040817,18.135702327806122,2.330775669642857,2,0
Healthy,2,8.530213647959183,10.377849968112244,1.365234375,1,6
Healthy,1,7.827566964285714,9.900789221938776,1.451809630102041,2,0
Healthy,1,8.487683354591837,10.374441964285714,1.4689891581632653,1,5
Healthy,1,8.4189453125,9.567004145408163,1.4796914859693877,1,27
Healthy,1,12.505480707908163,14.91912468112245,2.054308832908163,1,11
Healthy,1,10.50749362244898,11.392976721938776,2.0503826530612246,2,0
Healthy,0,11.455177774234693,11.937280771683673,2.099330357142857,1,15
Healthy,0,15.325633769132653,16.95280612244898,3.1313576211734695,1,10
Healthy,0,15.389429209183673,16.675880899234695,2.3761160714285716,2,0
Healthy,0,14.251494738520408,16.195372289540817,2.3878148915816326,1,23
Healthy,0,14.153679049744898,14.899493781887756,2.097735969387755,2,0
Healthy,1,9.73371731505102,9.2041015625,1.8079958545918366,1,7
Healthy,0,14.407306281887756,15.415417729591837,2.557896205357143,2,0
Healthy,1,20.720742984693878,22.396524234693878,4.348752391581633,2,0
Healthy,0,26.156489158163264,26.228934151785715,3.9699856505102042,1,4
Healthy,1,14.235471141581632,14.847676179846939,2.4352080676020407,1,26
Healthy,2,19.331891741071427,23.96811224489796,4.674246651785714,1,3
Healthy,1,14.42709661989796,18.44463488520408,3.2448780293367347,2,0
Healthy,0,12.00520169005102,12.619379783163266,2.0915577168367347,2,0
Healthy,1,15.95752949617347,21.19595025510204,2.9273158482142856,2,0
Healthy,1,17.3626634247449,17.586814413265305,2.813097895408163,2,0
Healthy,1,14.46143574617347,17.128128985969386,2.07535475127551,2,0
Healthy,1,15.845723054846939,19.235590720663264,1.8086136798469388,2,0
Healthy,1,12.488799426020408,16.020448022959183,3.0785235969387754,1,5
Healthy,1,11.763233418367347,14.362683354591837,1.4973891900510203,2,0
Healthy,2,6.4457708864795915,9.18034518494898,1.1952128507653061,2,0
Healthy,2,10.496791294642858,14.15804368622449,2.01253587372449,1,4
Healthy,1,13.79233099489796,16.382214604591837,2.060367506377551,1,3
Healthy,0,18.076112085459183,18.117765465561224,3.0497648278061225,2,0
Healthy,0,21.45051419005102,23.962332589285715,3.460399394132653,0,18
Healthy,0,14.314911511479592,15.14080436862245,1.945850605867347,2,0
Healthy,1,11.80062181122449,15.291693239795919,2.648158482142857,2,0
Healthy,0,14.208466198979592,16.77313855229592,2.128726881377551,1,3
Healthy,0,16.059988839285715,16.315947863520407,2.40999681122449,2,0
Healthy,0,18.072385204081634,18.381417410714285,2.83187181122449,2,0
Healthy,1,11.786192602040817,12.495236766581632,1.4771404655612246,2,0
Healthy,1,13.011320153061224,14.533183195153061,1.7252869897959184,1,20
Healthy,1,14.05811543367347,13.636320153061224,2.0010961415816326,1,7
Healthy,2,9.405990911989797,12.372010522959183,1.648875956632653,2,0
Healthy,1,12.815449617346939,13.537069515306122,1.9427614795918366,1,6
Healthy,0,13.834941007653061,14.353555484693878,2.0209263392857144,1,5
Healthy,1,11.587352519132653,12.640744579081632,1.6723333864795917,2,0
Healthy,2,4.767279177295919,7.23714524872449,0.9381576849489796,2,0
Healthy,1,11.034398915816327,11.828882334183673,2.5177774234693877,1,13
Healthy,0,19.832808514030614,23.317442602040817,3.9117904974489797,2,0
Healthy,2,13.857401945153061,16.384905133928573,3.599509725765306,2,0
Healthy,1,11.458047672193878,9.67837213010204,2.4252232142857144,2,0
Healthy,2,5.995376275510204,8.413604113520408,1.1140585140306123,2,0
Healthy,1,4.904635682397959,5.9154974489795915,1.5245137117346939,2,0
Healthy,1,8.584681919642858,7.735331632653061,2.460239955357143,2,0
Healthy,2,16.316824776785715,20.96938775510204,2.1924426020408165,2,0
Healthy,1,21.839883609693878,19.175960618622447,3.761100924744898,2,0
Healthy,1,23.737503985969386,22.96063855229592,5.110012755102041,2,0
Healthy,1,21.524673150510203,22.205337213010203,4.3139548788265305,1,16
Healthy,2,7.29508131377551,11.989357461734693,1.1879185267857142,2,0
Healthy,2,6.089863679846939,7.119001116071429,2.0184948979591835,2,0
Healthy,0,15.171775350765307,15.145268654336734,2.2845782844387754,2,0
Healthy,1,11.097118144132653,14.783282844387756,2.007533482142857,1,6
Healthy,2,13.397201849489797,13.055265465561224,2.7966757015306123,2,0
Healthy,2,7.894092793367347,9.22933274872449,2.6462651466836733,2,0
Healthy,2,11.118682238520408,13.568478954081632,1.8101283482142858,1,3
Healthy,0,9.913384885204081,10.789799904336734,1.9462890625,1,4
Healthy,1,13.063895089285714,15.190369897959183,1.537109375,1,8
Healthy,0,10.710060586734693,10.922811702806122,2.014209980867347,2,0
Healthy,2,7.087711256377551,8.850187340561224,1.7110371492346939,2,0
Healthy,1,14.27459343112245,16.627770248724488,2.1695830676020407,1,4
Healthy,1,12.552355707908163,12.474689094387756,2.51839524872449,1,7
Healthy,0,16.710558832908163,16.906688456632654,3.945332429846939,0,65
Healthy,1,13.446847098214286,13.289899553571429,2.7602439413265305,1,11
Healthy,0,21.314353475765305,21.018494897959183,3.4423429528061225,1,33
Healthy,1,18.26042330994898,17.689971301020407,2.274314413265306,1,9
Healthy,1,21.881556919642858,20.324258609693878,2.678332270408163,0,17
Healthy,0,17.037368463010203,17.329579878826532,2.6935786033163267,2,0
Healthy,0,21.096839126275512,21.244897959183675,3.454559948979592,0,7
Healthy,0,20.129783163265305,20.217275191326532,3.274872448979592,0,4
Healthy,0,16.868044483418366,16.506457270408163,3.1128627232142856,1,9
Healthy,0,18.579838966836736,18.06574856505102,2.5818120216836733,1,19
Healthy,1,14.342534279336734,14.322624362244898,2.119738520408163,2,0
Healthy,2,9.53694993622449,14.125518176020408,2.3383689413265305,2,0
Healthy,2,7.309709821428571,10.112165178571429,1.4576490752551021,2,0
Healthy,2,9.151147959183673,13.17350924744898,1.919124681122449,1,20
Healthy,1,12.942522321428571,16.53447863520408,2.4048549107142856,2,0
Healthy,2,11.491290656887756,13.717095822704081,2.0691167091836733,1,6
Healthy,1,14.311782525510203,17.441167091836736,2.2985889668367347,1,10
Healthy,1,9.45280612244898,10.173887914540817,2.262715242346939,1,7
Healthy,1,16.47983099489796,19.526865433673468,2.295220822704082,1,5
Healthy,2,9.386479591836734,13.94955755739796,1.6940569196428572,2,0
Healthy,2,12.994858099489797,18.236786511479593,2.6943757971938775,1,5
Healthy,2,9.214564732142858,14.10580755739796,1.8281050701530612,1,6
Healthy,1,13.609474649234693,17.93817761479592,1.7134885204081634,2,0
Healthy,1,12.826530612244898,16.6197584502551,2.0656489158163267,2,0
Healthy,2,7.579400510204081,12.050681600765307,1.2715840242346939,2,0
Healthy,2,8.381816007653061,13.429926658163266,1.5033482142857142,2,0
Healthy,2,7.885104432397959,12.874621332908163,1.4295280612244898,2,0
Healthy,2,12.46661750637755,17.024174904336736,1.6968869579081634,2,0
Healthy,2,9.654815051020408,16.9072265625,1.6283482142857142,2,0
Healthy,2,9.731724330357142,13.046815210459183,1.4458306760204083,2,0
Healthy,2,12.284458705357142,16.67380819515306,1.8222456951530612,2,0
Healthy,2,11.210499043367347,14.039182079081632,2.129005899234694,2,0
Healthy,2,9.708904655612244,13.600526147959183,1.5397201849489797,2,0
Healthy,1,13.194794323979592,15.510881696428571,2.3928970025510203,1,9
Healthy,2,11.872130102040817,16.5523756377551,1.6311383928571428,2,0
Healthy,2,5.972875478316326,9.807557397959183,1.1383529974489797,2,0
Healthy,2,5.708765146683674,7.08089524872449,0.9916693239795918,2,0
Healthy,2,15.002889827806122,20.587850765306122,1.9576092155612246,2,0
Healthy,2,9.522022480867347,15.45360331632653,1.6129225127551021,2,0
Healthy,2,5.534299266581633,8.05793606505102,1.0334223533163265,2,0
Healthy,2,9.861188616071429,12.496970663265307,1.5155253507653061,2,0
Healthy,1,6.501116071428571,8.847277582908163,1.439014668367347,2,0
Healthy,2,8.335259885204081,12.453822544642858,1.4927056760204083,2,0
Healthy,1,8.482023278061224,10.532944036989797,1.6103714923469388,2,0
Healthy,2,5.115094866071429,8.467195471938776,0.9463488520408163,2,0
Healthy,1,14.24055325255102,14.596141581632653,1.913982780612245,1,5
Healthy,2,12.42546237244898,13.594866071428571,1.4207589285714286,2,0
Healthy,2,11.580596301020408,12.010602678571429,2.4899154974489797,1,8
Healthy,0,8.98941725127551,9.264389349489797,1.5460379464285714,0,3
Healthy,2,7.25960618622449,10.434829400510203,1.671077806122449,1,11
Healthy,2,8.258330676020408,13.109992825255102,1.5414939413265305,2,0
Healthy,2,8.523696588010203,12.938536352040817,1.204739317602041,2,0
Healthy,2,7.092793367346939,10.327367665816327,1.1218311543367347,2,0
Healthy,1,10.57260443239796,14.881636639030612,1.498764349489796,2,0
Healthy,1,7.507214604591836,8.98292012117347,1.6098732461734695,2,0
Healthy,2,6.4409080038265305,9.78091119260204,1.176578443877551,2,0
Healthy,2,6.377551020408164,9.23746412627551,1.2612205038265305,2,0
Healthy,2,7.346719547193878,11.103376116071429,1.8472377232142858,2,0
Healthy,2,8.323860012755102,10.167051977040817,2.077606823979592,2,0
Healthy,0,23.133709343112244,27.898895886479593,4.228515625,0,7
Healthy,2,8.62533880739796,11.856066645408163,1.702228156887755,1,6
Healthy,2,8.301737882653061,11.62549824617347,1.5187938456632653,2,0
Healthy,1,6.011758609693878,7.834183673469388,1.2100805165816326,2,0
Healthy,2,8.47835618622449,10.570731026785714,1.4421835140306123,2,0
Healthy,2,5.911112882653061,9.08414381377551,1.184131855867347,2,0
Healthy,2,5.537348533163265,8.317482461734693,1.204280931122449,2,0
Healthy,2,8.617307079081632,9.13119818239796,1.666733099489796,0,4
Healthy,1,8.217255261479592,9.59357063137755,1.793765943877551,1,5
Healthy,2,7.784438775510204,9.857302295918368,1.6600366709183674,2,0
Healthy,1,6.254703443877551,6.901347257653061,1.4003507653061225,2,0
Healthy,2,10.20344387755102,13.130660076530612,1.6125837053571428,2,0
Healthy,2,9.815369897959183,12.99591438137755,1.5108019770408163,1,6
Healthy,2,10.425243144132653,11.795978156887756,1.629085618622449,1,11
Healthy,2,7.93684231505102,10.15056999362245,1.4158960459183674,2,0
Healthy,2,13.08221061862245,16.632294323979593,2.5069555165816326,2,0
Healthy,2,9.329799107142858,11.316545758928571,1.6563097895408163,2,0
Healthy,2,6.897999043367347,9.150829081632653,1.5607461734693877,1,5
Healthy,2,9.037129304846939,10.793546715561224,1.6754225127551021,1,5
Healthy,1,12.054169323979592,13.283422353316327,1.7923110650510203,1,10
Healthy,2,11.353236607142858,14.091936383928571,1.7475286989795917,1,6
Healthy,2,7.432437818877551,8.678332270408163,1.1517657844387754,2,0
Healthy,2,10.794862085459183,15.177694515306122,1.5354751275510203,2,0
Healthy,1,6.23046875,8.04085618622449,1.4697265625,2,0
Healthy,2,14.059669961734693,18.237484056122447,1.5566605548469388,2,0
Healthy,2,9.294483418367347,12.28726881377551,1.6281289859693877,2,0
Healthy,2,6.059948979591836,8.512336575255102,1.2270607461734695,2,0
Healthy,2,10.880620216836734,13.370874521683673,1.5989915497448979,2,0
Healthy,2,9.76725924744898,15.208466198979592,1.9638073979591837,2,0
Healthy,2,9.18425143494898,11.624043367346939,1.5949258609693877,2,0
Healthy,2,6.641322544642857,8.132194674744898,1.3082748724489797,2,0
Healthy,2,7.184012276785714,10.257672991071429,1.3887117346938775,2,0
Healthy,2,7.016521843112245,10.64323580994898,1.3306560905612246,2,0
Healthy,2,9.567183514030612,11.850964604591837,1.5051020408163265,2,0
Healthy,2,14.54930644132653,18.022082270408163,2.536033163265306,1,5
Healthy,1,12.961057079081632,15.336455676020408,2.4479830994897958,1,8
Healthy,0,22.245057397959183,23.494060905612244,1.942721619897959,1,19
Healthy,2,6.757035235969388,9.69610969387755,1.4098573022959184,2,0
Healthy,2,5.3330078125,7.941147161989796,1.1939572704081634,2,0
Healthy,1,12.552515146683673,16.013193558673468,2.456672512755102,2,0
Healthy,2,11.623664700255102,15.095703125,1.759586256377551,2,0
Healthy,1,19.37529894770408,25.299665178571427,2.6038345025510203,1,18
Healthy,2,6.841936383928571,10.70784837372449,1.216537786989796,2,0
Healthy,2,18.903280452806122,24.648178411989797,2.868602519132653,1,8
Healthy,2,10.016063456632653,14.832649075255102,1.689194036989796,2,0
Healthy,2,12.933514030612244,16.4984056122449,2.94124681122449,2,0
Healthy,2,12.27475286989796,15.822624362244898,1.8802814094387754,1,10
Healthy,2,12.125378667091837,14.635941485969388,1.9582270408163265,1,8
Healthy,1,10.463428730867347,13.940987723214286,1.3051857461734695,2,0
Healthy,1,15.126016422193878,19.124800701530614,2.336933992346939,2,0
Healthy,2,7.821308992346939,10.765904017857142,0.9928451849489796,2,0
Healthy,2,6.69515306122449,8.775430484693878,0.8981584821428571,2,0
Healthy,2,6.041055484693878,7.6791693239795915,1.0145487882653061,2,0
Healthy,1,16.759984853316325,21.069216358418366,2.2905173788265305,1,4
Healthy,2,7.196229272959184,9.703324298469388,0.8852040816326531,2,0
Healthy,0,17.89809869260204,22.829819036989797,2.3571627869897958,1,4
Healthy,0,13.902722417091837,15.748505261479592,2.0557238520408165,1,5
Healthy,0,18.036690848214285,20.0830078125,2.6433354591836733,1,30
Healthy,1,8.968829719387756,11.86264349489796,1.159000318877551,2,0
