index,class,path
0,LeafBlast,original/LeafBlast/IMG_20190419_095429.jpg
1,Hispa,original/Hispa/IMG_20190419_173023.jpg
2,Healthy,original/Healthy/IMG_20190419_103643.jpg
3,LeafBlast,original/LeafBlast/IMG_20190419_134932.jpg
4,LeafBlast,original/LeafBlast/IMG_20190419_172238.jpg
5,Healthy,original/Healthy/IMG_20190419_111307.jpg
6,LeafBlast,original/LeafBlast/IMG_20190419_112523.jpg
7,Healthy,original/Healthy/IMG_20190424_131019.jpg
8,Healthy,original/Healthy/IMG_20190419_175311.jpg
9,Healthy,original/Healthy/IMG_20190424_130233.jpg
10,Hispa,original/Hispa/IMG_20190419_165709.jpg
11,Healthy,original/Healthy/IMG_20190419_115116.jpg
12,BrownSpot,original/BrownSpot/IMG_20190420_195307_1.jpg
13,Healthy,original/Healthy/IMG_20190419_161213.jpg
14,LeafBlast,original/LeafBlast/IMG_20190420_193725.jpg
15,Healthy,original/Healthy/IMG_20190419_145034.jpg
16,BrownSpot,original/BrownSpot/IMG_20190420_190255.jpg
17,Healthy,original/Healthy/IMG_20190424_132052.jpg
18,Healthy,original/Healthy/IMG_20190424_125919.jpg
19,BrownSpot,original/BrownSpot/IMG_20190420_194217.jpg
20,Healthy,original/Healthy/IMG_20190421_195540.jpg
21,Hispa,original/Hispa/IMG_20190419_173259.jpg
22,LeafBlast,original/LeafBlast/IMG_20190419_140229.jpg
23,BrownSpot,original/BrownSpot/IMG_20190420_185557.jpg
24,Healthy,original/Healthy/IMG_20190419_130125.jpg
25,LeafBlast,original/LeafBlast/IMG_20190419_112314.jpg
26,Healthy,original/Healthy/IMG_20190424_132426.jpg
27,LeafBlast,original/LeafBlast/IMG_3020.jpg
28,BrownSpot,original/BrownSpot/IMG_20190420_190647.jpg
29,Healthy,original/Healthy/IMG_20190424_133534.jpg
30,BrownSpot,original/BrownSpot/IMG_20190420_194826.jpg
31,Hispa,original/Hispa/IMG_20190419_171906.jpg
32,LeafBlast,original/LeafBlast/IMG_20190419_172007.jpg
33,BrownSpot,original/BrownSpot/IMG_20190419_133426.jpg
34,Healthy,original/Healthy/IMG_20190419_144359.jpg
35,Healthy,original/Healthy/IMG_20190419_145607.jpg
36,LeafBlast,original/LeafBlast/IMG_20190419_112302.jpg
37,LeafBlast,original/LeafBlast/IMG_20190419_110255.jpg
38,Hispa,original/Hispa/IMG_20190424_131225.jpg
39,Hispa,original/Hispa/IMG_20190419_095310.jpg
40,Healthy,original/Healthy/IMG_20190419_172211.jpg
41,BrownSpot,original/BrownSpot/IMG_20190419_113311.jpg
42,LeafBlast,original/LeafBlast/IMG_20190419_134909.jpg
43,Healthy,original/Healthy/IMG_20190419_103401.jpg
44,LeafBlast,original/LeafBlast/IMG_20190419_141135.jpg
45,Healthy,original/Healthy/IMG_20190419_163017.jpg
46,BrownSpot,original/BrownSpot/IMG_3191.jpg
47,Healthy,original/Healthy/IMG_20190419_162701.jpg
48,Hispa,original/Hispa/IMG_20190419_095939.jpg
49,Healthy,original/Healthy/IMG_20190419_113621.jpg
50,BrownSpot,original/BrownSpot/IMG_20190420_190150.jpg
51,Hispa,original/Hispa/IMG_20190419_173011.jpg
52,Healthy,original/Healthy/IMG_20190424_133739.jpg
53,LeafBlast,original/LeafBlast/IMG_20190419_141035.jpg
54,Hispa,original/Hispa/IMG_20190419_112955.jpg
55,LeafBlast,original/LeafBlast/IMG_20190419_165615.jpg
56,LeafBlast,original/LeafBlast/IMG_4834.jpg
57,BrownSpot,original/BrownSpot/IMG_20190420_194503.jpg
58,Healthy,original/Healthy/IMG_20190419_164100.jpg
59,Healthy,original/Healthy/IMG_20190419_100252.jpg
60,LeafBlast,original/LeafBlast/IMG_20190419_112137.jpg
61,Healthy,original/Healthy/IMG_20190419_133834.jpg
62,Hispa,original/Hispa/IMG_20190419_162853.jpg
63,Healthy,original/Healthy/IMG_20190419_133848.jpg
64,LeafBlast,original/LeafBlast/IMG_20190419_124810.jpg
65,LeafBlast,original/LeafBlast/IMG_5518.jpg
66,Hispa,original/Hispa/IMG_20190419_171903.jpg
67,Hispa,original/Hispa/IMG_20190419_161736.jpg
68,LeafBlast,original/LeafBlast/IMG_5515.jpg
69,Healthy,original/Healthy/IMG_20190419_134807.jpg
70,BrownSpot,original/BrownSpot/IMG_20190421_195708.jpg
71,Healthy,original/Healthy/IMG_20190419_172123.jpg
72,Healthy,original/Healthy/IMG_20190419_163335.jpg
73,BrownSpot,original/BrownSpot/IMG_20190419_113213.jpg
74,Healthy,original/Healthy/IMG_20190420_200443.jpg
75,LeafBlast,original/LeafBlast/IMG_20190419_165057.jpg
76,Healthy,original/Healthy/IMG_20190424_130619.jpg
77,Healthy,original/Healthy/IMG_20190421_195544.jpg
78,Healthy,original/Healthy/IMG_3136.jpg
79,Hispa,original/Hispa/IMG_20190419_144911.jpg
80,Healthy,original/Healthy/IMG_20190419_113731.jpg
81,Hispa,original/Hispa/IMG_20190419_165638.jpg
82,Healthy,original/Healthy/IMG_20190419_100239.jpg
83,Healthy,original/Healthy/IMG_20190419_172257.jpg
84,LeafBlast,original/LeafBlast/IMG_20190419_134543.jpg
85,Healthy,original/Healthy/IMG_20190419_124613.jpg
86,Healthy,original/Healthy/IMG_20190424_130256.jpg
87,Healthy,original/Healthy/IMG_20190419_162950.jpg
88,BrownSpot,original/BrownSpot/IMG_20190420_194202.jpg
89,Healthy,original/Healthy/IMG_20190419_123558.jpg
90,Healthy,original/Healthy/IMG_20190419_100157.jpg
91,Healthy,original/Healthy/IMG_20190424_133143.jpg
92,LeafBlast,original/LeafBlast/IMG_3004.jpg
93,LeafBlast,original/LeafBlast/IMG_20190419_145515.jpg
94,Hispa,original/Hispa/IMG_20190419_140219.jpg
95,LeafBlast,original/LeafBlast/IMG_5519.jpg
96,Hispa,original/Hispa/IMG_20190419_140156.jpg
97,BrownSpot,original/BrownSpot/IMG_3046.jpg
98,Healthy,original/Healthy/IMG_20190419_171954.jpg
99,Healthy,original/Healthy/IMG_20190420_193259.jpg
100,LeafBlast,original/LeafBlast/IMG_20190419_172021.jpg
101,LeafBlast,original/LeafBlast/IMG_20190419_134818.jpg
102,Hispa,original/Hispa/IMG_20190419_150802.jpg
103,Healthy,original/Healthy/IMG_20190419_141456.jpg
104,BrownSpot,original/BrownSpot/IMG_20190420_193547.jpg
105,Healthy,original/Healthy/IMG_20190419_100418.jpg
106,LeafBlast,original/LeafBlast/IMG_4849.jpg
107,BrownSpot,original/BrownSpot/IMG_3199.jpg
108,Healthy,original/Healthy/IMG_20190419_134802.jpg
109,LeafBlast,original/LeafBlast/IMG_20190419_114729.jpg
110,Hispa,original/Hispa/IMG_20190419_175147.jpg
111,Hispa,original/Hispa/IMG_20190419_162044.jpg
112,Healthy,original/Healthy/IMG_20190419_161244.jpg
113,Healthy,original/Healthy/IMG_20190424_131700.jpg
114,Hispa,original/Hispa/IMG_20190419_163232.jpg
115,Healthy,original/Healthy/IMG_20190419_145356.jpg
116,Hispa,original/Hispa/IMG_20190419_095947.jpg
117,Healthy,original/Healthy/IMG_20190419_133957.jpg
118,Healthy,original/Healthy/IMG_20190419_172924.jpg
119,BrownSpot,original/BrownSpot/IMG_20190421_200151.jpg
120,Healthy,original/Healthy/IMG_20190420_194338.jpg
121,Healthy,original/Healthy/IMG_20190419_152639.jpg
122,Healthy,original/Healthy/IMG_20190420_200433.jpg
123,BrownSpot,original/BrownSpot/IMG_3069.jpg
124,Healthy,original/Healthy/IMG_20190424_130550.jpg
125,Healthy,original/Healthy/IMG_20190419_103406.jpg
126,LeafBlast,original/LeafBlast/IMG_20190419_110450.jpg
127,LeafBlast,original/LeafBlast/IMG_20190419_114701.jpg
128,LeafBlast,original/LeafBlast/IMG_20190419_161520.jpg
129,Healthy,original/Healthy/IMG_20190419_161404.jpg
130,LeafBlast,original/LeafBlast/IMG_5512.jpg
131,Healthy,original/Healthy/IMG_20190419_163306.jpg
132,Healthy,original/Healthy/IMG_20190424_130156.jpg
133,Healthy,original/Healthy/IMG_20190419_173000.jpg
134,Healthy,original/Healthy/IMG_3064.jpg
135,Hispa,original/Hispa/IMG_20190424_131818.jpg
