index,class,path
0,LeafBlast,preprocessed/LeafBlast/IMG_20190419_095429.jpg
1,Hispa,preprocessed/Hispa/IMG_20190419_173023.jpg
2,Healthy,preprocessed/Healthy/IMG_20190419_103643.jpg
3,LeafBlast,preprocessed/LeafBlast/IMG_20190419_134932.jpg
4,LeafBlast,preprocessed/LeafBlast/IMG_20190419_172238.jpg
5,Healthy,preprocessed/Healthy/IMG_20190419_111307.jpg
6,LeafBlast,preprocessed/LeafBlast/IMG_20190419_112523.jpg
7,Healthy,preprocessed/Healthy/IMG_20190424_131019.jpg
8,Healthy,preprocessed/Healthy/IMG_20190419_175311.jpg
9,Healthy,preprocessed/Healthy/IMG_20190424_130233.jpg
10,Hispa,preprocessed/Hispa/IMG_20190419_165709.jpg
11,Healthy,preprocessed/Healthy/IMG_20190419_115116.jpg
12,BrownSpot,preprocessed/BrownSpot/IMG_20190420_195307_1.jpg
13,Healthy,preprocessed/Healthy/IMG_20190419_161213.jpg
14,LeafBlast,preprocessed/LeafBlast/IMG_20190420_193725.jpg
15,Healthy,preprocessed/Healthy/IMG_20190419_145034.jpg
16,BrownSpot,preprocessed/BrownSpot/IMG_20190420_190255.jpg
17,Healthy,preprocessed/Healthy/IMG_20190424_132052.jpg
18,Healthy,preprocessed/Healthy/IMG_20190424_125919.jpg
19,BrownSpot,preprocessed/BrownSpot/IMG_20190420_194217.jpg
20,Healthy,preprocessed/Healthy/IMG_20190421_195540.jpg
21,Hispa,preprocessed/Hispa/IMG_20190419_173259.jpg
22,LeafBlast,preprocessed/LeafBlast/IMG_20190419_140229.jpg
23,BrownSpot,preprocessed/BrownSpot/IMG_20190420_185557.jpg
24,Healthy,preprocessed/Healthy/IMG_20190419_130125.jpg
25,LeafBlast,preprocessed/LeafBlast/IMG_20190419_112314.jpg
26,Healthy,preprocessed/Healthy/IMG_20190424_132426.jpg
27,LeafBlast,preprocessed/LeafBlast/IMG_3020.jpg
28,BrownSpot,preprocessed/BrownSpot/IMG_20190420_190647.jpg
29,Healthy,preprocessed/Healthy/IMG_20190424_133534.jpg
30,BrownSpot,preprocessed/BrownSpot/IMG_20190420_194826.jpg
31,Hispa,preprocessed/Hispa/IMG_20190419_171906.jpg
32,LeafBlast,preprocessed/LeafBlast/IMG_20190419_172007.jpg
33,BrownSpot,preprocessed/BrownSpot/IMG_20190419_133426.jpg
34,Healthy,preprocessed/Healthy/IMG_20190419_144359.jpg
35,Healthy,preprocessed/Healthy/IMG_20190419_145607.jpg
36,LeafBlast,preprocessed/LeafBlast/IMG_20190419_112302.jpg
37,LeafBlast,preprocessed/LeafBlast/IMG_20190419_110255.jpg
38,Hispa,preprocessed/Hispa/IMG_20190424_131225.jpg
39,Hispa,preprocessed/Hispa/IMG_20190419_095310.jpg
40,Healthy,preprocessed/Healthy/IMG_20190419_172211.jpg
41,BrownSpot,preprocessed/BrownSpot/IMG_20190419_113311.jpg
42,LeafBlast,preprocessed/LeafBlast/IMG_20190419_134909.jpg
43,Healthy,preprocessed/Healthy/IMG_20190419_103401.jpg
44,LeafBlast,preprocessed/LeafBlast/IMG_20190419_141135.jpg
45,Healthy,preprocessed/Healthy/IMG_20190419_163017.jpg
46,BrownSpot,preprocessed/BrownSpot/IMG_3191.jpg
47,Healthy,preprocessed/Healthy/IMG_20190419_162701.jpg
48,Hispa,preprocessed/Hispa/IMG_20190419_095939.jpg
49,Healthy,preprocessed/Healthy/IMG_20190419_113621.jpg
50,BrownSpot,preprocessed/BrownSpot/IMG_20190420_190150.jpg
51,Hispa,preprocessed/Hispa/IMG_20190419_173011.jpg
52,Healthy,preprocessed/Healthy/IMG_20190424_133739.jpg
53,LeafBlast,preprocessed/LeafBlast/IMG_20190419_141035.jpg
54,Hispa,preprocessed/Hispa/IMG_20190419_112955.jpg
55,LeafBlast,preprocessed/LeafBlast/IMG_20190419_165615.jpg
56,LeafBlast,preprocessed/LeafBlast/IMG_4834.jpg
57,BrownSpot,preprocessed/BrownSpot/IMG_20190420_194503.jpg
58,Healthy,preprocessed/Healthy/IMG_20190419_164100.jpg
59,Healthy,preprocessed/Healthy/IMG_20190419_100252.jpg
60,LeafBlast,preprocessed/LeafBlast/IMG_20190419_112137.jpg
61,Healthy,preprocessed/Healthy/IMG_20190419_133834.jpg
62,Hispa,preprocessed/Hispa/IMG_20190419_162853.jpg
63,Healthy,preprocessed/Healthy/IMG_20190419_133848.jpg
64,LeafBlast,preprocessed/LeafBlast/IMG_20190419_124810.jpg
65,LeafBlast,preprocessed/LeafBlast/IMG_5518.jpg
66,Hispa,preprocessed/Hispa/IMG_20190419_171903.jpg
67,Hispa,preprocessed/Hispa/IMG_20190419_161736.jpg
68,LeafBlast,preprocessed/LeafBlast/IMG_5515.jpg
69,Healthy,preprocessed/Healthy/IMG_20190419_134807.jpg
70,BrownSpot,preprocessed/BrownSpot/IMG_20190421_195708.jpg
71,Healthy,preprocessed/Healthy/IMG_20190419_172123.jpg
72,Healthy,preprocessed/Healthy/IMG_20190419_163335.jpg
73,BrownSpot,preprocessed/BrownSpot/IMG_20190419_113213.jpg
74,Healthy,preprocessed/Healthy/IMG_20190420_200443.jpg
75,LeafBlast,preprocessed/LeafBlast/IMG_20190419_165057.jpg
76,Healthy,preprocessed/Healthy/IMG_20190424_130619.jpg
77,Healthy,preprocessed/Healthy/IMG_20190421_195544.jpg
78,Healthy,preprocessed/Healthy/IMG_3136.jpg
79,Hispa,preprocessed/Hispa/IMG_20190419_144911.jpg
80,Healthy,preprocessed/Healthy/IMG_20190419_113731.jpg
81,Hispa,preprocessed/Hispa/IMG_20190419_165638.jpg
82,Healthy,preprocessed/Healthy/IMG_20190419_100239.jpg
83,Healthy,preprocessed/Healthy/IMG_20190419_172257.jpg
84,LeafBlast,preprocessed/LeafBlast/IMG_20190419_134543.jpg
85,Healthy,preprocessed/Healthy/IMG_20190419_124613.jpg
86,Healthy,preprocessed/Healthy/IMG_20190424_130256.jpg
87,Healthy,preprocessed/Healthy/IMG_20190419_162950.jpg
88,BrownSpot,preprocessed/BrownSpot/IMG_20190420_194202.jpg
89,Healthy,preprocessed/Healthy/IMG_20190419_123558.jpg
90,Healthy,preprocessed/Healthy/IMG_20190419_100157.jpg
91,Healthy,preprocessed/Healthy/IMG_20190424_133143.jpg
92,LeafBlast,preprocessed/LeafBlast/IMG_3004.jpg
93,LeafBlast,preprocessed/LeafBlast/IMG_20190419_145515.jpg
94,Hispa,preprocessed/Hispa/IMG_20190419_140219.jpg
95,LeafBlast,preprocessed/LeafBlast/IMG_5519.jpg
96,Hispa,preprocessed/Hispa/IMG_20190419_140156.jpg
97,BrownSpot,preprocessed/BrownSpot/IMG_3046.jpg
98,Healthy,preprocessed/Healthy/IMG_20190419_171954.jpg
99,Healthy,preprocessed/Healthy/IMG_20190420_193259.jpg
100,LeafBlast,preprocessed/LeafBlast/IMG_20190419_172021.jpg
101,LeafBlast,preprocessed/LeafBlast/IMG_20190419_134818.jpg
102,Hispa,preprocessed/Hispa/IMG_20190419_150802.jpg
103,Healthy,preprocessed/Healthy/IMG_20190419_141456.jpg
104,BrownSpot,preprocessed/BrownSpot/IMG_20190420_193547.jpg
105,Healthy,preprocessed/Healthy/IMG_20190419_100418.jpg
106,LeafBlast,preprocessed/LeafBlast/IMG_4849.jpg
107,BrownSpot,preprocessed/BrownSpot/IMG_3199.jpg
108,Healthy,preprocessed/Healthy/IMG_20190419_134802.jpg
109,LeafBlast,preprocessed/LeafBlast/IMG_20190419_114729.jpg
110,Hispa,preprocessed/Hispa/IMG_20190419_175147.jpg
111,Hispa,preprocessed/Hispa/IMG_20190419_162044.jpg
112,Healthy,preprocessed/Healthy/IMG_20190419_161244.jpg
113,Healthy,preprocessed/Healthy/IMG_20190424_131700.jpg
114,Hispa,preprocessed/Hispa/IMG_20190419_163232.jpg
115,Healthy,preprocessed/Healthy/IMG_20190419_145356.jpg
116,Hispa,preprocessed/Hispa/IMG_20190419_095947.jpg
117,Healthy,preprocessed/Healthy/IMG_20190419_133957.jpg
118,Healthy,preprocessed/Healthy/IMG_20190419_172924.jpg
119,BrownSpot,preprocessed/BrownSpot/IMG_20190421_200151.jpg
120,Healthy,preprocessed/Healthy/IMG_20190420_194338.jpg
121,Healthy,preprocessed/Healthy/IMG_20190419_152639.jpg
122,Healthy,preprocessed/Healthy/IMG_20190420_200433.jpg
123,BrownSpot,preprocessed/BrownSpot/IMG_3069.jpg
124,Healthy,preprocessed/Healthy/IMG_20190424_130550.jpg
125,Healthy,preprocessed/Healthy/IMG_20190419_103406.jpg
126,LeafBlast,preprocessed/LeafBlast/IMG_20190419_110450.jpg
127,LeafBlast,preprocessed/LeafBlast/IMG_20190419_114701.jpg
128,LeafBlast,preprocessed/LeafBlast/IMG_20190419_161520.jpg
129,Healthy,preprocessed/Healthy/IMG_20190419_161404.jpg
130,LeafBlast,preprocessed/LeafBlast/IMG_5512.jpg
131,Healthy,preprocessed/Healthy/IMG_20190419_163306.jpg
132,Healthy,preprocessed/Healthy/IMG_20190424_130156.jpg
133,Healthy,preprocessed/Healthy/IMG_20190419_173000.jpg
134,Healthy,preprocessed/Healthy/IMG_3064.jpg
135,Hispa,preprocessed/Hispa/IMG_20190424_131818.jpg
136,BrownSpot,preprocessed/BrownSpot/IMG_20190420_194540.jpg
137,Healthy,preprocessed/Healthy/IMG_20190419_161146.jpg
138,LeafBlast,preprocessed/LeafBlast/IMG_20190419_132234.jpg
139,Hispa,preprocessed/Hispa/IMG_20190424_132331.jpg
140,Healthy,preprocessed/Healthy/IMG_20190424_130729.jpg
141,Healthy,preprocessed/Healthy/IMG_20190419_114446.jpg
142,LeafBlast,preprocessed/LeafBlast/IMG_20190419_132137.jpg
